epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2385.89,0.85988,0.77301,1.45694,0.50461,0.68663,0.64235,0.41726,1.22096,1.25131,1.9936,0.00804475,0.00804475,0.00804475
81,2415.29,0.85174,0.74905,1.44634,0.63933,0.74303,0.72444,0.44303,1.24183,1.13038,1.92801,0.00802,0.00802,0.00802
82,2444.68,0.85667,0.75454,1.4518,0.71776,0.69192,0.74694,0.48481,1.18937,0.92141,1.91379,0.00799525,0.00799525,0.00799525
83,2474.05,0.85309,0.75648,1.45016,0.64686,0.73192,0.70593,0.45631,1.24165,1.17073,1.97568,0.0079705,0.0079705,0.0079705
84,2503.46,0.84359,0.74215,1.43489,0.61237,0.73143,0.71431,0.47288,1.34009,1.05888,2.23716,0.00794575,0.00794575,0.00794575
85,2532.85,0.8557,0.74546,1.45914,0.59002,0.52199,0.60784,0.41636,1.18063,1.20426,1.99365,0.007921,0.007921,0.007921
86,2562.28,0.84573,0.74113,1.44252,0.68879,0.65749,0.70433,0.45586,1.2355,1.17458,2.01813,0.00789625,0.00789625,0.00789625
87,2591.66,0.83779,0.73051,1.4324,0.65056,0.74201,0.74231,0.49905,1.10077,1.12423,1.84954,0.0078715,0.0078715,0.0078715
88,2621.25,0.83846,0.73056,1.42483,0.67087,0.64187,0.70888,0.45577,1.16232,1.18041,1.98273,0.00784675,0.00784675,0.00784675
89,2650.57,0.84903,0.73958,1.44413,0.58909,0.71873,0.72353,0.49061,1.29296,1.09128,2.13959,0.007822,0.007822,0.007822
90,2679.95,0.8332,0.71649,1.43122,0.66894,0.71383,0.6907,0.44965,1.23005,1.16502,1.96949,0.00779725,0.00779725,0.00779725
91,2709.35,0.8245,0.71403,1.42563,0.6614,0.69646,0.69887,0.46267,1.21714,1.19248,1.9783,0.0077725,0.0077725,0.0077725
